"id_querschnittsqualifikation","laufnummer","bemerkung","pflicht"
"22","B-LS-MI 004",,"f"
"22","B-LS-CB 001",,"f"
"22","B-LS-CB 002a",,"f"
"22","B-LS-CB 025",,"f"
"22","B-LS-CB 026",,"f"
"22","B-LS-MI 001a",,"f"
"22","B-LS-MI 002",,"f"
"22","B-LS-CB 30",,"f"
"22","B-LS-MI 009",,"f"
"33","B-LS-CH 006",,"f"
"33","B-LS-CH 007",,"f"
"33","B-LS-CH 003",,"f"
"33","B-LS-MI 001",,"f"
"33","B-LS-KT 036a",,"f"
"33","B-LS-KT 016a",,"f"
"33","B-LS-KT 033",,"f"
"33","B-LS-KT 029a",,"f"
"33","B-LS-KT 002a",,"f"
"33","B-LS-KT 028",,"f"
"33","B-LS-BZ 046",,"f"
"33","B-LS-MT 011",,"f"
"33","B-LS-MI 002a",,"f"
"33","B-LS-MI 004",,"f"
"33","B-LS-KT 039",,"f"
"33","B-LS-CH 010",,"f"
"33","B-LS-CH 002",,"f"
"33","B-LS-CH 012",,"f"
"33","B-LS-CH 014",,"f"
"33","B-LS-CH 013",,"f"
"33","B-LS-UT 024",,"f"
"33","B-LS-CH 037",,"f"
"33","B-LS-KT 012",,"f"
"33","B-LS-BZ 017",,"f"
"33","B-LS-KT 004",,"f"
"33","B-LS-BZ 040",,"f"
"33","B-LS-CH 011",,"f"
"33","B-LS-CH 009",,"f"
"33","B-LS-CH 017",,"f"
"33","B-LS-KT 008",,"f"
"33","B-LS-CH 015",,"f"
"33","B-LS-KT 013",,"f"
"33","B-LS-KT 014",,"f"
"33","B-LS-KT 026",,"f"
"33","B-LS-CH 036",,"f"
"33","B-LS-CH 038",,"f"
"33","B-LS-CH 031",,"f"
"33","B-LS-CH 042",,"f"
"33","B-LS-CH 027",,"f"
"33","B-LS-CH 039",,"f"
"33","B-LS-CH 043",,"f"
"33","B-LS-CH 026",,"f"
"33","B-LS-CH 024",,"f"
"33","B-LS-CH 044",,"f"
"33","B-LS-CH 023",,"f"
"33","B-LS-CH 022",,"f"
"33","B-LS-CH 016",,"f"
"33","B-LS-CH 033",,"f"
"33","B-LS-CH 040",,"f"
"33","B-LS-CH 032",,"f"
"33","B-LS-CH 041",,"f"
"33","B-LS-CH 30",,"f"
"42","B-LS-MI 002a",,"f"
"42","B-LS-PT 026",,"f"
"42","B-LS-PT 30",,"f"
"42","B-LS-PT 024",,"f"
"42","B-LS-MI 007",,"f"
"42","B-LS-MI 001",,"f"
"42","B-LS-MI 005",,"f"
"42","B-LS-MI 006",,"f"
"53","B-LS-PT 026",,"f"
"53","B-LS-PT 30",,"f"
"53","B-LS-PT 024",,"f"
"12","B-LS-UT 021",,"f"
"12","B-LS-CH 019",,"f"
"12","B-LS-MI 008",,"f"
"12","B-LS-MT 004",,"f"
"12","B-LS-MI 007",,"f"
"12","B-LS-MI 001",,"f"
"12","B-LS-MI 002a",,"f"
"12","B-LS-MI 003",,"f"
"12","B-LS-MI 006",,"f"
"12","B-LS-MI 005",,"f"
"12","B-LS-BZ 016",,"f"
"12","B-LS-BZ 036",,"f"
"12","B-LS-BZ 033",,"f"
